Reading,seconds_from_UTC_00:00:00],Lon[deg],Lat[deg],CV-0.5m,IV-0.5m
168,73029.704,-105.07626653,39.01795508,-15.000,-0.855
169,73029.944,-105.07626854,39.01795271,-13.281,-0.826
170,73030.140,-105.07627000,39.01795079,-13.242,-0.824
171,73030.344,-105.07627147,39.01794878,-12.500,-0.857
172,73030.500,-105.07627258,39.01794725,-14.023,-0.861
173,73030.703,-105.07627404,39.01794525,-14.414,-0.869
174,73030.890,-105.07627538,39.01794341,-14.883,-0.907
175,73031.089,-105.07627676,39.01794149,-14.023,-0.866
176,73031.265,-105.07627793,39.01793982,-13.086,-0.872
177,73031.442,-105.07627911,39.01793814,-12.773,-0.888
178,73031.633,-105.07628039,39.01793632,-13.789,-0.869
179,73031.809,-105.07628156,39.01793465,-14.922,-0.831
180,73031.971,-105.07628264,39.01793311,-15.156,-0.874
181,73032.183,-105.07628436,39.01793131,-14.414,-0.847
182,73032.384,-105.07628603,39.01792964,-14.492,-0.843
183,73032.583,-105.07628769,39.01792797,-14.141,-0.870
184,73032.784,-105.07628936,39.01792630,-14.961,-0.865
185,73032.983,-105.07629102,39.01792464,-14.766,-0.850
186,73146.017,-105.07630387,39.01792978,-15.000,-0.954
187,73146.209,-105.07630239,39.01793110,-14.141,-0.962
188,73146.404,-105.07630091,39.01793242,-15.391,-0.953
189,73146.596,-105.07629943,39.01793374,-19.805,-0.901
190,73146.791,-105.07629794,39.01793507,-19.297,-0.909
191,73146.983,-105.07629646,39.01793639,-16.172,-0.954
192,73147.175,-105.07629593,39.01793842,-14.609,-0.944
193,73147.381,-105.07629544,39.01794069,-13.477,-0.958
194,73147.572,-105.07629500,39.01794279,-14.141,-0.977
195,73147.778,-105.07629452,39.01794506,-14.570,-0.985
196,73147.968,-105.07629407,39.01794715,-14.570,-0.995
197,73148.141,-105.07629283,39.01794882,-13.750,-0.966
198,73148.329,-105.07629126,39.01795057,-13.477,-0.946
199,73148.532,-105.07628957,39.01795247,-12.695,-0.925
200,73148.719,-105.07628801,39.01795421,-13.398,-0.931
201,73148.907,-105.07628644,39.01795597,-13.750,-0.916
202,73149.095,-105.07628471,39.01795764,-13.750,-0.934
203,73149.286,-105.07628280,39.01795927,-10.312,-0.881
204,73149.476,-105.07628091,39.01796088,-10.781,-0.914
205,73149.667,-105.07627900,39.01796250,-12.070,-0.939
206,73149.857,-105.07627710,39.01796412,-14.023,-0.946
207,73150.044,-105.07627528,39.01796568,-14.219,-0.946
208,73150.232,-105.07627362,39.01796719,-14.336,-0.944
209,73150.405,-105.07627209,39.01796858,-13.555,-0.891
210,73150.594,-105.07627042,39.01797008,-12.070,-0.886
211,73150.753,-105.07626901,39.01797136,-13.711,-0.897
212,73150.928,-105.07626747,39.01797275,-13.945,-0.902
213,73151.131,-105.07626574,39.01797449,-14.453,-0.910
214,73151.327,-105.07626411,39.01797623,-14.492,-0.900
215,73151.525,-105.07626246,39.01797797,-14.336,-0.908
216,73151.721,-105.07626083,39.01797970,-13.555,-0.893
217,73151.935,-105.07625904,39.01798159,-14.805,-0.905
218,73152.125,-105.07625750,39.01798352,-14.648,-0.881
219,73152.297,-105.07625612,39.01798538,-14.414,-0.875
220,73152.484,-105.07625463,39.01798741,-14.492,-0.852
221,73152.688,-105.07625300,39.01798962,-15.195,-0.878
222,73152.875,-105.07625150,39.01799165,-14.102,-0.885
223,73153.064,-105.07624987,39.01799366,-14.727,-0.921
224,73153.270,-105.07624784,39.01799579,-15.156,-0.930
225,73153.460,-105.07624597,39.01799776,-15.508,-0.937
226,73153.635,-105.07624425,39.01799956,-15.195,-0.924
227,73153.826,-105.07624238,39.01800154,-13.750,-0.933
228,73154.032,-105.07624049,39.01800364,-13.867,-0.908
229,73154.222,-105.07623948,39.01800541,-12.188,-0.834
230,73154.428,-105.07623838,39.01800733,-13.203,-0.878
231,73154.619,-105.07623736,39.01800911,-13.477,-0.906
232,73154.809,-105.07623635,39.01801089,-13.711,-0.936
233,73155.000,-105.07623533,39.01801267,-14.805,-0.934
234,73155.187,-105.07623362,39.01801419,-15.430,-0.920
235,73155.375,-105.07623190,39.01801573,-14.922,-0.910
236,73155.562,-105.07623018,39.01801726,-14.531,-0.885
237,73155.750,-105.07622846,39.01801879,-14.492,-0.868
238,73155.953,-105.07622660,39.01802045,-13.789,-0.907
239,73156.140,-105.07622568,39.01802226,-14.727,-0.915
240,73156.328,-105.07622502,39.01802417,-15.352,-0.888
241,73156.500,-105.07622442,39.01802592,-15.156,-0.891
242,73156.703,-105.07622371,39.01802798,-14.492,-0.871
243,73156.890,-105.07622305,39.01802988,-13.242,-0.859
244,73157.090,-105.07622231,39.01803190,-11.289,-0.842
245,73157.253,-105.07622165,39.01803353,-11.836,-0.827
246,73157.448,-105.07622087,39.01803548,-11.836,-0.799
247,73157.627,-105.07622016,39.01803727,-12.930,-0.830
248,73157.791,-105.07621950,39.01803891,-13.203,-0.872
249,73157.985,-105.07621873,39.01804085,-13.359,-0.919
250,73158.172,-105.07621752,39.01804286,-14.609,-0.921
251,73158.375,-105.07621617,39.01804506,-14.297,-0.912
252,73158.562,-105.07621492,39.01804709,-14.258,-0.906
253,73158.750,-105.07621367,39.01804912,-12.500,-0.863
254,73158.937,-105.07621242,39.01805115,-10.742,-0.834
255,73159.129,-105.07621140,39.01805293,-11.211,-0.857
256,73159.322,-105.07621050,39.01805457,-12.383,-0.864
257,73159.517,-105.07620959,39.01805622,-12.812,-0.867
258,73159.726,-105.07620861,39.01805801,-13.320,-0.894
259,73159.919,-105.07620771,39.01805965,-12.773,-0.861
260,73160.112,-105.07620640,39.01806139,-13.711,-0.878
261,73160.302,-105.07620482,39.01806320,-13.438,-0.889
262,73160.492,-105.07620323,39.01806501,-13.828,-0.890
263,73160.682,-105.07620165,39.01806681,-13.828,-0.901
264,73160.873,-105.07620006,39.01806863,-13.672,-0.893
265,73161.061,-105.07619859,39.01807035,-13.555,-0.868
266,73161.261,-105.07619726,39.01807205,-12.031,-0.865
267,73161.446,-105.07619602,39.01807363,-12.656,-0.843
268,73161.631,-105.07619480,39.01807519,-10.781,-0.858
269,73161.832,-105.07619346,39.01807690,-8.125,-0.904
270,73162.000,-105.07619233,39.01807833,-3.828,-0.853
271,73162.188,-105.07619121,39.01808043,-0.586,-0.832
272,73162.391,-105.07618999,39.01808270,0.273,-0.784
