time,lon,lat,CV-1.0m,IV-1.0m,CV-0.5m,IV-0.5m,LineNumber,Smoothed_CV-1.0m,Smoothed_IV-1.0m,Smoothed_CV-0.5m,Smoothed_IV-0.5m,Smoothed_CV-1.0m_corrected,Smoothed_IV-1.0m_corrected,Smoothed_CV-0.5m_corrected,Smoothed_IV-0.5m_corrected
79890.375,-105.07578771,39.01795079,-9.144,0.543,-7.491,-0.084,Line 75,-8.306714285714287,0.5234285714285715,-7.819857142857144,-0.08914285714285716,5.5955042579364855,-0.2600747261904771,-9.036226396825406,-0.6298505992063496
79890.541,-105.07578876,39.01794952,-9.105,0.584,-4.366,-0.036,Line 75,-8.753142857142858,0.5331428571428571,-11.391285714285713,-0.06242857142857143,5.149075686507914,-0.25036044047619144,-12.607654968253975,-0.6031363134920638
79890.721,-105.0757899,39.01794814,-7.972,0.544,-5.186,-0.102,Line 75,-9.277714285714286,0.5594285714285715,-14.393571428571429,-0.021714285714285714,4.624504257936487,-0.22407472619047708,-15.609940682539696,-0.562422027777778
79890.889,-105.07579096,39.01794685,-9.534,0.558,-24.014,0.01,Line 75,-8.85357142857143,0.5581428571428572,-13.495142857142856,-0.014714285714285711,5.048647115079343,-0.22536044047619141,-14.71151211111112,-0.555422027777778
79891.07,-105.07579204,39.01794552,-11.019,0.621,-33.233,0.132,Line 75,-8.490857142857143,0.5415714285714286,-12.501714285714284,-0.02742857142857142,5.41136140079363,-0.24193186904761999,-13.718083539682546,-0.5681363134920638
79891.286,-105.07579319,39.01794405,-10.12,0.616,-21.592,0.099,Line 75,-8.273142857142858,0.5252857142857142,-12.652285714285712,-0.03928571428571427,5.629075686507915,-0.25821758333333433,-13.868654968253978,-0.5799934563492066
79891.498,-105.07579432,39.0179426,-5.081,0.441,1.416,-0.122,Line 75,-8.340142857142856,0.5278571428571429,-12.819714285714285,-0.03228571428571428,5.562075686507916,-0.25564615476190566,-14.03608353968255,-0.5729934563492066
79891.714,-105.07579548,39.01794112,-6.605,0.427,-0.537,-0.173,Line 75,-8.00542857142857,0.5244285714285714,-9.382142857142854,-0.048857142857142856,5.896789972222202,-0.2590747261904772,-10.59851211111112,-0.5895648849206352
79891.927,-105.07579661,39.01793967,-7.581,0.47,-5.42,-0.119,Line 75,-7.704,0.5115714285714286,-6.67,-0.07828571428571428,6.198218543650773,-0.27193186904762,-7.886369253968262,-0.6189934563492067
79892.137,-105.07579746,39.01793825,-8.441,0.562,-6.358,-0.053,Line 75,-7.7542857142857144,0.5077142857142857,-7.434571428571429,-0.08671428571428572,6.147932829365058,-0.2757890119047629,-8.65094068253969,-0.6274220277777781
79892.322,-105.07579807,39.01793702,-7.191,0.534,0.049,-0.106,Line 75,-8.463,0.5274285714285715,-10.48142857142857,-0.06199999999999999,5.439218543650774,-0.2560747261904771,-11.697797825396833,-0.6027077420634923
79892.493,-105.07579864,39.01793588,-8.909,0.531,-14.248,-0.074,Line 75,-8.407142857142857,0.5258571428571429,-10.598714285714285,-0.05128571428571429,5.495075686507916,-0.25764615476190567,-11.815083539682547,-0.5919934563492066
79892.692,-105.07579931,39.01793455,-10.472,0.589,-26.944,0.04,Line 75,-8.256428571428572,0.5158571428571429,-9.956999999999999,-0.05742857142857143,5.645789972222201,-0.2676461547619057,-11.17336925396826,-0.5981363134920639
79892.877,-105.07579992,39.01793332,-10.042,0.579,-19.912,0.051,Line 75,-8.211714285714285,0.504,-9.795142857142858,-0.06514285714285714,5.690504257936488,-0.2795032976190486,-11.011512111111124,-0.6058505992063495
79893.06,-105.07580083,39.01793205,-6.214,0.416,-1.358,-0.098,Line 75,-8.55757142857143,0.5142857142857143,-11.00057142857143,-0.05357142857142856,5.344647115079343,-0.26921758333333423,-12.216940682539693,-0.5942791706349209
79893.239,-105.07580232,39.01793071,-6.526,0.4,-0.928,-0.162,Line 75,-8.596714285714285,0.533,-9.862285714285715,-0.04285714285714286,5.305504257936488,-0.25050329761904855,-11.078654968253979,-0.5835648849206352
79893.434,-105.07580395,39.01792925,-8.128,0.479,-5.225,-0.107,Line 75,-8.401428571428571,0.5341428571428571,-6.592142857142856,-0.056,5.500789972222202,-0.24936044047619144,-7.808512111111121,-0.5967077420634923
79893.612,-105.07580544,39.01792791,-9.612,0.606,-8.389,-0.025,Line 75,-8.289857142857143,0.5382857142857144,-6.034142857142858,-0.06242857142857143,5.61236140079363,-0.2452175833333342,-7.250512111111121,-0.6031363134920638
79893.777,-105.0758068,39.01792668,-9.183,0.662,-6.28,0.001,Line 75,-8.708428571428572,0.5687142857142857,-8.975,-0.03728571428571429,5.193789972222201,-0.21478901190476285,-10.191369253968263,-0.5779934563492066
79893.955,-105.07580829,39.01792534,-9.105,0.597,-4.053,-0.052,Line 75,-8.998714285714286,0.6021428571428571,-11.22942857142857,-0.0012857142857142809,4.903504257936487,-0.1813604404761915,-12.445797825396838,-0.5419934563492066
79894.165,-105.07580933,39.01792371,-9.261,0.608,-16.006,0.006,Line 75,-8.730857142857143,0.61,-11.324285714285717,0.010571428571428577,5.1713614007936295,-0.1735032976190486,-12.540654968253982,-0.5301363134920638
79894.361,-105.07581011,39.01792217,-9.144,0.629,-21.944,0.078,Line 75,-8.273285714285715,0.5895714285714285,-10.732714285714284,-0.001999999999999998,5.628932829365058,-0.19393186904762005,-11.949083539682547,-0.5427077420634924
79894.558,-105.0758109,39.01792063,-8.558,0.634,-16.709,0.09,Line 75,-8.239714285714287,0.564,-10.911285714285714,-0.014999999999999998,5.662504257936486,-0.21950329761904863,-12.127654968253978,-0.5557077420634924
79894.772,-105.07581176,39.01791895,-6.253,0.534,-5.889,-0.024,Line 75,-8.379142857142856,0.5592857142857143,-11.753857142857143,-0.010428571428571426,5.523075686507917,-0.2242175833333343,-12.97022639682541,-0.5511363134920638
79894.969,-105.07581254,39.01791741,-6.409,0.463,-4.248,-0.113,Line 75,-8.395857142857142,0.5514285714285714,-9.867714285714287,-0.014857142857142857,5.50636140079363,-0.2320747261904772,-11.084083539682553,-0.5555648849206352
79895.169,-105.07581329,39.01791607,-8.948,0.483,-7.53,-0.09,Line 75,-7.966142857142857,0.531,-6.508285714285715,-0.04371428571428571,5.936075686507916,-0.25250329761904855,-7.724654968253979,-0.5844220277777781
79895.34,-105.07581391,39.01791496,-10.081,0.564,-9.951,-0.02,Line 75,-7.977285714285713,0.5125714285714286,-6.993857142857144,-0.059000000000000004,5.924932829365059,-0.27093186904762,-8.210226396825405,-0.5997077420634924
79895.525,-105.07581459,39.01791376,-9.378,0.553,-2.803,-0.025,Line 75,-8.457142857142857,0.5157142857142857,-10.543000000000001,-0.045,5.4450756865079155,-0.2677890119047629,-11.759369253968266,-0.5857077420634924
79895.709,-105.07581527,39.01791256,-6.136,0.486,1.572,-0.124,Line 75,-9.004,0.53,-13.80757142857143,-0.020714285714285713,4.898218543650773,-0.25350329761904855,-15.023940682539697,-0.561422027777778
79895.907,-105.07581599,39.01791127,-8.636,0.505,-20.108,-0.017,Line 75,-8.65242857142857,0.5215714285714286,-13.23271428571429,-0.022285714285714287,5.249789972222202,-0.26193186904762,-14.449083539682555,-0.5629934563492067
79896.097,-105.07581657,39.01791014,-9.612,0.556,-30.733,0.074,Line 75,-8.055285714285715,0.4927142857142857,-11.927000000000001,-0.046285714285714284,5.846932829365058,-0.2907890119047629,-13.143369253968267,-0.5869934563492066
79896.286,-105.07581705,39.0179091,-10.237,0.563,-27.1,0.057,Line 75,-7.86,0.4754285714285715,-12.284142857142857,-0.06342857142857142,6.0422185436507725,-0.30807472619047704,-13.50051211111112,-0.6041363134920638
79896.492,-105.07581756,39.01790796,-6.487,0.424,-3.506,-0.101,Line 75,-8.563142857142857,0.48828571428571427,-13.76857142857143,-0.05228571428571428,5.339075686507916,-0.29521758333333437,-14.984940682539696,-0.5929934563492066
79896.652,-105.07581796,39.01790708,-5.901,0.362,-0.811,-0.188,Line 75,-8.87,0.5054285714285714,-11.770714285714288,-0.05028571428571428,5.032218543650774,-0.27807472619047713,-12.987083539682551,-0.5909934563492066
79896.859,-105.07581848,39.01790594,-8.011,0.432,-5.303,-0.145,Line 75,-8.847714285714286,0.5057142857142857,-8.093285714285715,-0.07257142857142858,5.054504257936487,-0.2777890119047629,-9.309654968253982,-0.613279170634921
79897.048,-105.07581906,39.01790481,-11.058,0.576,-8.819,-0.046,Line 75,-8.764,0.5051428571428572,-7.222714285714288,-0.08285714285714287,5.1382185436507735,-0.27836044047619135,-8.43908353968255,-0.6235648849206352
79897.254,-105.07582006,39.01790327,-10.784,0.625,-6.123,-0.003,Line 75,-9.177000000000001,0.527,-10.487285714285715,-0.05928571428571428,4.725218543650771,-0.25650329761904855,-11.703654968253979,-0.5999934563492066
79897.444,-105.07582098,39.01790184,-9.456,0.558,-4.991,-0.082,Line 75,-9.662571428571429,0.5547142857142857,-13.004000000000003,-0.02414285714285714,4.239647115079344,-0.22878901190476286,-14.220369253968265,-0.5648505992063495
79897.634,-105.0758219,39.01790041,-9.651,0.559,-21.006,-0.015,Line 75,-9.528571428571428,0.5598571428571428,-12.959428571428573,-0.012714285714285714,4.373647115079344,-0.22364615476190575,-14.175797825396835,-0.553422027777778
79897.841,-105.0758229,39.01789886,-9.378,0.577,-26.358,0.064,Line 75,-8.948142857142857,0.5447142857142857,-12.11671428571429,-0.024999999999999998,4.954075686507916,-0.23878901190476287,-13.333083539682555,-0.5657077420634924
79898.0,-105.07582367,39.01789767,-9.3,0.556,-18.428,0.058,Line 75,-8.630142857142857,0.5247142857142857,-12.194857142857144,-0.04028571428571428,5.2720756865079155,-0.2587890119047629,-13.411226396825406,-0.5809934563492066
79898.185,-105.07582471,39.01789653,-7.073,0.468,-4.991,-0.065,Line 75,-8.797571428571429,0.5241428571428571,-12.819857142857144,-0.03485714285714285,5.104647115079344,-0.25936044047619145,-14.036226396825406,-0.5755648849206352
79898.356,-105.07582568,39.01789547,-6.995,0.47,-2.92,-0.132,Line 75,-8.875714285714286,0.5222857142857144,-10.75514285714286,-0.032999999999999995,5.0265042579364865,-0.2612175833333342,-11.971512111111124,-0.5737077420634924
79898.543,-105.07582674,39.01789432,-8.558,0.485,-6.67,-0.11,Line 75,-8.825428571428573,0.5085714285714287,-7.948142857142858,-0.046857142857142854,5.0767899722222,-0.2749318690476199,-9.164512111111122,-0.5875648849206352
79898.714,-105.07582771,39.01789327,-10.628,0.554,-9.366,-0.044,Line 75,-8.886857142857144,0.5000000000000001,-8.165714285714285,-0.05228571428571428,5.015361400793629,-0.28350329761904847,-9.382083539682549,-0.5929934563492066
79898.886,-105.07582869,39.01789221,-10.198,0.546,-6.553,-0.002,Line 75,-9.355714285714287,0.5044285714285713,-11.134428571428572,-0.03357142857142857,4.546504257936486,-0.27907472619047724,-12.350797825396839,-0.574279170634921
79899.086,-105.07582972,39.0178909,-9.026,0.481,-6.709,-0.033,Line 75,-9.673857142857143,0.5107142857142858,-13.400142857142859,-0.009142857142857138,4.22836140079363,-0.2727890119047628,-14.61651211111112,-0.5498505992063495
79899.289,-105.07583063,39.01788948,-9.73,0.496,-19.951,0.02,Line 75,-9.495285714285714,0.5058571428571429,-13.087714285714286,-0.007714285714285711,4.406932829365059,-0.2776461547619057,-14.304083539682551,-0.548422027777778
79899.474,-105.07583147,39.01788818,-10.355,0.499,-25.772,0.066,Line 75,-9.143714285714285,0.49000000000000005,-12.658000000000001,-0.016857142857142855,4.758504257936488,-0.2935032976190486,-13.874369253968268,-0.5575648849206352
79899.679,-105.07583239,39.01788675,-9.222,0.514,-18.78,0.039,Line 75,-9.361428571428572,0.5028571428571429,-13.037428571428574,-0.023428571428571427,4.540789972222201,-0.2806461547619057,-14.253797825396838,-0.5641363134920638
79899.882,-105.0758333,39.01788533,-7.308,0.451,-4.483,-0.1,Line 75,-9.835857142857142,0.5275714285714286,-13.188142857142859,-0.021999999999999995,4.066361400793631,-0.25593186904762,-14.404512111111124,-0.5627077420634924
79900.088,-105.07583432,39.01788399,-8.167,0.443,-6.358,-0.108,Line 75,-9.84142857142857,0.5355714285714286,-10.314285714285717,-0.03757142857142857,4.060789972222202,-0.24793186904762,-11.530654968253984,-0.578279170634921
79900.262,-105.07583528,39.01788297,-11.722,0.636,-9.209,-0.048,Line 75,-9.807857142857143,0.5402857142857143,-8.545285714285715,-0.05142857142857143,4.0943614007936295,-0.24321758333333432,-9.76165496825398,-0.5921363134920639
79900.436,-105.07583623,39.01788196,-12.347,0.654,-7.764,-0.023,Line 75,-9.99757142857143,0.5491428571428572,-10.085428571428574,-0.041428571428571426,3.904647115079343,-0.23436044047619142,-11.30179782539684,-0.5821363134920639
79900.623,-105.07583726,39.01788087,-9.769,0.552,0.166,-0.089,Line 75,-10.549999999999999,0.5747142857142856,-14.371142857142857,0.0014285714285714377,3.352218543650774,-0.20878901190476296,-15.587512111111126,-0.5392791706349209
79900.783,-105.07583814,39.01787993,-10.12,0.532,-13.389,-0.031,Line 75,-10.583428571428572,0.5887142857142857,-15.219285714285716,0.03171428571428572,3.318789972222201,-0.19478901190476283,-16.435654968253978,-0.5089934563492067
